Date,Value,tre200b0,ure200b0,rre150b0,sre000b0,fu3010b0,prestab0,tre200b0_mean,ure200b0_mean,rre150b0_sum,sre000b0_sum,fu3010b0_mean,prestab0_mean
2014-05-27,960.0,12.4,89.0,0.0,0.0,7.2,958.2,15.733333333333354,69.4000000000003,1.2073675392798577e-14,306.0,8.937500000000009,957.6958333333336
2014-06-01,960.0,5.8,62.6,0.0,0.0,12.2,957.5,3.600000000000001,87.26666666666661,7.900000000000002,90.0,6.595833333333328,954.4958333333334
2014-06-02,12.0,5.4,64.5,0.0,0.0,4.7,948.2,2.49583333333334,90.63750000000014,0.5000000000000007,1.0,6.779166666666664,947.6499999999995
2014-06-05,480.0,17.0,43.3,0.0,0.0,16.2,958.9,11.329166666666692,66.38750000000032,1.2156942119645464e-14,760.0,5.066666666666665,959.6041666666666
2014-06-06,480.0,23.3,48.2,0.0,52.0,3.2,959.2,14.950000000000012,65.32916666666695,1.1601830607332886e-14,718.0,6.554166666666674,959.1833333333334
2014-06-08,480.0,20.4,63.1,0.0,0.0,5.8,959.9,18.0625,78.22500000000024,2.0000000000000404,255.0,5.779166666666658,962.8291666666664
2014-06-09,480.0,18.9,73.6,0.0,0.0,6.5,956.9,17.71249999999999,84.5083333333336,1.2000000000000584,174.0,2.624999999999982,958.9
2014-06-10,480.0,13.5,88.5,0.0,0.0,9.4,955.1,14.6625,85.53750000000043,12.900000000000066,563.0,4.97916666666664,958.7000000000003
2014-06-11,480.0,4.9,87.7,0.0,0.0,2.5,957.4,4.179166666666652,92.21666666666687,51.00000000000008,0.0,6.820833333333304,948.0750000000002
2014-06-12,480.0,3.5,83.1,0.0,0.0,9.0,963.0,3.3999999999999857,92.28750000000036,0.10000000000007242,0.0,4.229166666666651,959.5375
2014-06-15,960.0,18.8,50.0,0.0,14.0,9.7,959.3,17.774999999999995,67.25833333333365,1.2434497875801753e-14,594.0,11.941666666666672,959.6208333333329
2014-06-16,960.0,19.6,46.2,0.0,14.0,13.3,959.0,17.008333333333333,56.86666666666699,1.2434497875801753e-14,404.0,15.500000000000005,959.6958333333333
2014-06-17,480.0,19.2,50.2,0.0,25.0,20.2,958.6,17.79583333333333,54.82500000000032,1.2434497875801753e-14,763.0,11.100000000000009,959.7624999999999
2014-06-18,480.0,19.2,58.7,0.0,11.0,7.6,960.0,17.712500000000002,56.67083333333363,1.2434497875801753e-14,656.0,13.60833333333334,959.4666666666666
2014-06-19,960.0,21.1,49.2,0.0,6.0,13.7,959.7,17.474999999999994,63.03750000000031,1.2434497875801753e-14,688.0,6.266666666666669,960.3291666666664
2014-06-20,480.0,18.6,57.4,0.0,0.0,7.6,960.0,18.179166666666667,63.695833333333645,1.2434497875801753e-14,615.0,7.612500000000005,960.9041666666668
2014-06-21,480.0,22.2,41.1,0.0,60.0,2.2,959.4,17.84166666666666,62.17500000000032,1.2434497875801753e-14,219.0,8.812500000000005,960.1541666666666
2014-06-22,480.0,23.2,43.3,0.0,0.0,17.6,961.8,18.287499999999998,54.30833333333363,1.2434497875801753e-14,863.0,5.800000000000007,960.2583333333333
2014-06-23,480.0,17.8,83.7,0.0,0.0,4.0,960.3,19.699999999999996,55.40000000000031,1.2434497875801753e-14,678.0,6.829166666666674,961.8166666666667
2014-06-24,240.0,18.8,69.2,0.0,59.0,5.8,957.3,18.099999999999998,78.48750000000032,14.900000000000013,455.0,6.416666666666672,961.7083333333331
2014-06-25,480.0,17.1,76.3,7.2,0.0,9.0,956.5,16.291666666666668,84.49166666666694,23.700000000000017,268.0,4.962500000000003,959.1
2014-06-26,480.0,20.4,52.3,0.0,28.0,1.1,957.2,16.145833333333332,78.72916666666696,7.500000000000016,437.0,6.4375000000000036,955.4416666666666
2014-06-27,671.0,22.7,46.1,0.0,0.0,4.7,959.1,17.104166666666664,66.2708333333336,0.10000000000001563,632.0,5.55416666666667,957.3374999999996
2014-07-01,779.0,8.7,65.0,0.0,0.0,3.2,962.5,3.6625000000000014,70.85000000000001,2.3869795029440866e-15,379.0,4.062499999999992,958.7666666666669
2014-07-04,609.0,15.4,62.2,0.0,0.0,7.9,959.3,12.387500000000015,82.53333333333364,0.10000000000000436,420.0,3.1916666666666575,962.8166666666667
2014-07-06,525.0,25.7,50.7,0.0,21.0,6.1,961.0,18.616666666666678,61.3625000000003,1.1601830607332886e-14,810.0,3.912500000000007,960.0916666666672
2014-07-13,3.0,17.8,75.2,0.0,0.0,14.4,956.0,16.904166666666672,83.56666666666696,9.000000000000014,241.0,6.9791666666666545,957.5833333333334
2014-07-15,819.0,21.7,56.1,0.0,54.0,0.0,964.4,17.816666666666677,83.50416666666693,4.100000000000012,386.0,7.362499999999989,959.9000000000001
2014-07-17,1200.0,24.7,55.6,0.0,60.0,3.6,963.2,20.41250000000001,66.94166666666695,1.199040866595169e-14,878.0,4.220833333333319,964.9083333333334
2014-07-18,750.0,25.6,39.1,0.0,59.0,5.0,960.7,21.904166666666672,64.71666666666697,1.199040866595169e-14,889.0,4.566666666666652,964.4875000000001
2014-07-27,1218.0,17.8,90.7,0.0,0.0,1.4,960.6,16.69166666666667,87.65416666666697,13.200000000000024,0.0,8.358333333333327,958.4083333333334
2014-07-31,966.0,21.4,65.5,0.0,35.0,4.7,957.0,17.024999999999995,88.27500000000025,5.6000000000000405,0.0,7.774999999999992,955.8458333333334
2014-08-02,480.0,4.4,69.7,0.0,0.0,10.1,942.6,4.854166666666671,76.57500000000017,7.5,72.0,10.154166666666665,949.0
2014-08-05,480.0,15.8,51.9,0.0,0.0,8.6,959.2,11.691666666666684,87.304166666667,34.000000000000014,70.0,8.312499999999995,959.8874999999999
2014-08-07,480.0,13.0,77.5,0.4,0.0,19.1,957.2,19.054166666666667,78.97916666666701,2.700000000000001,249.0,6.337499999999998,958.1125000000001
2014-08-09,1168.0,20.2,81.6,0.0,0.0,1.1,959.9,18.79166666666666,75.97916666666693,5.839773109528323e-14,707.0,2.945833333333313,958.0958333333332
2014-08-16,191.0,13.5,71.2,0.0,0.0,14.8,965.3,12.770833333333327,82.60416666666701,27.000000000000043,106.0,9.545833333333311,960.3875000000003
2014-08-17,600.0,16.4,72.5,0.0,0.0,5.8,958.0,12.733333333333329,81.75000000000034,5.000000000000057,125.0,7.562499999999985,964.7833333333333
2014-08-18,480.0,17.6,61.4,0.0,0.0,8.3,956.9,14.695833333333328,72.95833333333367,5.861977570020827e-14,688.0,6.070833333333319,960.9000000000001
2014-08-19,480.0,17.2,60.0,0.0,0.0,7.2,958.6,16.770833333333332,70.21250000000036,5.861977570020827e-14,524.0,8.349999999999982,956.3583333333331
2016-07-04,16.885,6.1,92.8,0.0,0.0,4.3,956.8,10.429166666666655,77.15416666666682,7.300000000000075,170.0,5.874999999999974,957.8166666666665
2016-07-05,796.252,18.4,32.6,0.0,24.0,4.3,952.7,15.129166666666654,46.25000000000012,8.607003998406526e-14,837.0,5.183333333333324,957.9708333333333
2016-07-07,428.0,22.8,50.2,0.0,12.0,6.1,962.3,20.195833333333276,60.93750000000016,8.987255384340642e-14,387.0,7.9416666666666424,963.8041666666663
2016-07-17,800.0,23.5,55.0,0.0,60.0,1.4,964.7,15.437499999999943,61.566666666666855,8.593126210598712e-14,850.0,6.233333333333317,969.0250000000001
2016-07-18,480.0,25.0,51.8,0.0,40.0,2.2,964.2,19.15833333333327,59.716666666666846,8.593126210598712e-14,894.0,4.7999999999999785,966.1624999999999
2016-07-20,1271.0,27.2,48.5,0.0,16.0,3.6,958.9,22.99999999999994,59.558333333333515,8.593126210598712e-14,886.0,3.3041666666666454,963.7291666666665
2016-07-22,155.296,21.1,75.9,0.0,1.0,2.5,960.2,22.599999999999937,73.71666666666681,6.400000000000086,241.0,5.649999999999976,960.4249999999997
2016-07-25,827.3849999999999,22.0,78.6,0.0,6.0,4.0,963.4,20.995833333333263,78.86250000000014,43.900000000000084,515.0,6.104166666666649,963.041666666667
2016-07-26,14.237999999999998,23.5,72.1,0.0,0.0,4.0,962.0,21.07916666666661,81.53750000000012,23.70000000000008,255.0,5.195833333333315,963.4916666666669
2016-07-27,55.047,20.0,78.6,0.0,4.0,23.4,961.7,21.595833333333264,75.92916666666677,0.10000000000008091,608.0,6.1333333333333115,963.1916666666666
2016-07-28,958.6239999999999,21.7,64.6,0.0,1.0,7.6,960.9,19.83333333333326,82.61666666666676,2.100000000000081,215.0,6.2958333333333165,962.2458333333335
2016-07-29,1.909,24.2,58.1,0.0,42.0,9.0,958.9,20.266666666666595,71.03333333333342,8.08242361927114e-14,609.0,6.474999999999977,961.7583333333336
2016-07-31,6.345,17.7,90.2,0.0,0.0,4.7,961.0,22.4291666666666,68.33750000000012,8.08242361927114e-14,619.0,6.224999999999983,958.6708333333332
2016-08-01,1077.627,4.5,95.9,0.6,0.0,3.2,947.7,2.920833333333327,88.42916666666696,8.500000000000064,1.0,6.387499999999993,944.6083333333337
2016-08-02,675.567,9.9,67.9,0.0,0.0,18.7,952.5,5.195833333333312,79.50416666666688,2.4000000000000683,15.0,7.8624999999999625,951.591666666667
2016-08-03,678.053,0.2,89.6,0.0,0.0,8.3,960.2,2.0583333333333096,68.71666666666684,7.693845560652335e-14,397.0,6.208333333333311,947.3208333333333
